품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
치과용 임플란트 고정체,오스템임플란트(주),제허 26-642 호,20260824,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)위드웰임플란트,제허 26-632 호,20260818,제조,정상,1,비대상,(주)제로스,
치과용 임플란트 고정체,(주)위드웰임플란트,제허 26-631 호,20260818,제조,정상,1,비대상,(주)제로스,
치과용 임플란트 고정체,(주)아이디스,제허 26-624 호,20260814,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)아이디스,제허 26-622 호,20260814,제조,정상,1,비대상,,
치과용 임플란트 고정체,에이덴 주식회사,제허 26-522 호,20260706,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)워랜텍,제허 26-485 호,20260626,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)넥서스임플란트(Nexus Implant corp.),제허 26-468 호,20260622,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)넥서스임플란트(Nexus Implant corp.),제허 26-467 호,20260622,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)메가젠임플란트,제허 26-466 호,20260619,제조,정상,1,비대상,,
치과용 임플란트 고정체,에이덴 주식회사,제허 26-414 호,20260605,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)서치,제허 26-380 호,20260520,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)서치,제허 26-379 호,20260520,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사 도이프,제허 26-376 호,20260519,제조,정상,1,비대상,,
치과용 임플란트 고정체,(주)스누콘,제허 26-364 호,20260514,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사 도이프,제허 26-359 호,20260513,제조,정상,1,비대상,,
치과용 임플란트 고정체,주식회사 저스트,제허 26-354 호,20260512,제조,정상,1,비대상,(주)아이디스,
치과용 임플란트 고정체,주식회사 저스트,제허 26-353 호,20260512,제조,정상,1,비대상,(주)아이디스,
치과용 임플란트 고정체,오스템임플란트(주),제허 26-337 호,20260508,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 26-319 호,20260428,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 26-318 호,20260428,제조,정상,1,비대상,,
