품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
고주파 자극기,(주)은성글로벌,제허 26-424 호,20260609,제조,정상,1,비대상,,
고주파 자극기,(주)태인글로벌,제허 26-388 호,20260521,제조,정상,1,비대상,,
고주파 자극기,주식회사 뷰테크글로벌,제허 26-301 호,20260421,제조,정상,1,비대상,,
의료용 고주파 온열기,(주)태인글로벌,제허 26-291 호,20260417,제조,정상,1,비대상,,
고주파 자극기,이즈 트로닉스(주),제허 26-48 호,20260115,제조,정상,1,비대상,,
고주파 자극기,(주)클래시스,제허 26-44 호,20260114,제조,정상,1,비대상,,
의료용 고주파 온열기,동서메디케어(주),제허 25-859 호,20251224,제조,정상,1,비대상,,
고주파 자극기,주식회사 스타로닉,제허 25-740 호,20251104,제조,정상,1,비대상,,
의료용 고주파 온열기,주식회사 필드큐어,제허 25-612 호,20250904,제조,정상,1,비대상,,
고주파 자극기,(주)루츠미,제허 25-534 호,20250804,제조,정상,1,비대상,,
고주파 자극기,주식회사 필드큐어,제허 25-152 호,20250312,제조,정상,1,비대상,,
고주파 자극기,주식회사 뷰테크글로벌,제허 25-108 호,20250224,제조,정상,1,비대상,,
고주파 자극기,대양의료기(주),제허 24-781 호,20241112,제조,정상,1,비대상,,
의료용 고주파 온열기,동서메디케어(주),제허 23-1056 호,20231114,제조,정상,1,비대상,,
고주파 자극기,(주)제이에스온,제허 23-1033 호,20231106,제조,정상,1,비대상,,
고주파자극기,(주)메디버,제허 23-567 호,20230508,제조,정상,1,비대상,,
고주파자극기,자이글(주),수허 23-77 호,20230308,수입,정상,1,비대상,"HUIZHOU GISUN ELECTRONICS CO.,LTD.",
의료용고주파온열기,(주)젬텍,제허 22-864 호,20221214,제조,정상,1,비대상,,
고주파자극기,폴라리스헬스케어(Polaris Healthcare),수허 22-233 호,20221028,수입,정상,1,비대상,UNIBELL S.r.l.,
의료용고주파온열기,(주)마중솔루션,수허 22-203 호,20220922,수입,정상,1,비대상,Med-Logix S.r.l.,
고주파자극기,(주)베누스타,제허 22-553 호,20220812,제조,정상,1,비대상,,
고주파 자극기,(주)태인글로벌,제허 22-527 호,20220805,제조,정상,1,비대상,,
의료용고주파온열기,체이퍼메디 주식회사,제허 22-497 호,20220728,제조,정상,1,비대상,,
고주파자극기,(주)에스엔제이,제허 22-493 호,20220728,제조,정상,1,비대상,,
고주파자극기,(주)청우메디칼,제허 22-478 호,20220721,제조,정상,1,비대상,,
의료용고주파온열기,동서메디케어(주),제허 22-258 호,20220420,제조,정상,1,비대상,,
고주파자극기,(주)다시온라이프,제허 22-238 호,20220411,제조,정상,1,비대상,,
고주파자극기,(주)스킨렉스,제허 22-219 호,20220401,제조,정상,1,비대상,,
고주파자극기,(주)청우메디칼,제허 21-977 호,20211202,제조,정상,1,비대상,,
의료용고주파온열기,(주)아디포랩스,제허 21-916 호,20211116,제조,정상,1,비대상,,
의료용고주파온열기,체이퍼메디 주식회사,제허 21-883 호,20211104,제조,정상,1,비대상,,
고주파 자극기,(주)리메드,제허 21-425 호,20210527,제조,정상,1,비대상,,
고주파 자극기,(주)디에스메디,제허 21-411 호,20210525,제조,정상,1,비대상,,
고주파 자극기,대양의료기(주),제허 21-342 호,20210503,제조,정상,1,비대상,,
고주파자극기,디아메노 주식회사,제허 21-291 호,20210413,제조,취소·취하,1,비대상,,2024-11-06
고주파자극기,(주)제이에스온,제허 21-85 호,20210202,제조,취소·취하,1,비대상,,2026-02-02
의료용 고주파 온열기,동서메디케어(주),제허 21-12 호,20210108,제조,정상,1,비대상,,
고주파 자극기,(주)은성글로벌,제허 20-1138 호,20201222,제조,정상,1,비대상,,
고주파자극기,(주)윈백고이스트,제허 20-1137 호,20201222,제조,정상,1,비대상,,
고주파자극기,(주)디에스메디,제허 20-1056 호,20201209,제조,정상,1,비대상,,
고주파자극기,주식회사힐룩스,제허 20-906 호,20201026,제조,정상,1,비대상,,
고주파자극기,(주)아디포랩스,제허 20-885 호,20201014,제조,정상,1,비대상,,
고주파자극기,인디바 코리아 유한회사,수허 20-162 호,20200727,수입,정상,1,비대상,INDIBA S.A,
의료용고주파온열기,(주)하스피케어,수허 20-99 호,20200507,수입,정상,1,비대상,OncoTherm Kft.,
고주파자극기,(주)쉬엔비,제허 20-340 호,20200501,제조,정상,1,비대상,,
고주파자극기,(주)인성테크놀로지,제허 20-317 호,20200427,제조,정상,1,비대상,,
고주파자극기,(주)한국비티비,제허 20-220 호,20200326,제조,정상,1,비대상,,
고주파자극기,(주)영인바이오텍,제허 20-195 호,20200317,제조,정상,1,비대상,,
고주파자극기,(주)젬텍,제허 20-187 호,20200316,제조,정상,1,비대상,,
고주파자극기,(주)메디버,제허 20-136 호,20200224,제조,정상,1,비대상,,
의료용고주파온열기,(주)아디포랩스,제허 20-92 호,20200206,제조,정상,1,비대상,,
의료용고주파온열기,대양의료기(주),제허 19-802 호,20191206,제조,정상,1,비대상,,
